Sentence,start_time,end_time,wav_file,emotion,val,act,dom
What's he going to say?,6.21,9.32,Ses01F_script01_1_F000,fru,2,2.3333,2.3333
Maybe we should tell him before he sees it.,9.35,12.8955,Ses01F_script01_1_F001,xxx,2,2.3333,1.6667
He saw it.,14.3063,19.5526,Ses01F_script01_1_F002,sur,2.3333,2.3333,2.6667
How could he see it?  I was the first one up,22.32,24.6667,Ses01F_script01_1_F003,xxx,3,3,2.6667
He was out here when it broke.,35.3799,39.09,Ses01F_script01_1_F004,xxx,2,2,2
When?,40.02,44.9688,Ses01F_script01_1_F005,neu,2,1.6667,2
Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.,46.95,52.32,Ses01F_script01_1_F006,xxx,1.6667,2.3333,3.3333
What was he doing out here at four o clock in the morning?,58.95,60.88,Ses01F_script01_1_F007,xxx,2.6667,3.6667,3.6667
I don't know.,67.6,70.67,Ses01F_script01_1_F008,xxx,2,2.3333,2.6667
"He's dreaming of him again, walking around.",78.3648,81.5611,Ses01F_script01_1_F009,fru,2.6667,2.6667,3.6667
I guess he is.,100.14,102.3482,Ses01F_script01_1_F010,fru,2.6667,2.6667,3
It's getting to be just like after he died.  What's the meaning of that?,104.29,108.7408,Ses01F_script01_1_F011,fru,2.3333,3.3333,3.6667
"I don't know the meaning of it.  But I know one thing, Mom, you've made a terrible mistake with father.",117.8228,129.51,Ses01F_script01_1_F012,fru,2.3333,3,4
What?,134.01,141.95,Ses01F_script01_1_F013,xxx,2.3333,4.3333,3.6667
"Being dishonest with him, you know.  This kind of thing always pays off and it's paying off.",150.27,152.6736,Ses01F_script01_1_F014,fru,2.6667,1.6667,2.3333
What do you mean dishonest?,156.1786,160.67,Ses01F_script01_1_F015,neu,3,2.3333,3
You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,165.6573,169.559,Ses01F_script01_1_F016,xxx,2.6667,2.6667,3
What do you want to do?  Argue with him?,171.63,175.49,Ses01F_script01_1_F017,xxx,2,3,3.6667
I don't want to argue but it's time he realized that nobody believes Larry is alive.,176.96,179.75,Ses01F_script01_1_F018,xxx,2.6667,2.6667,2.3333
"You know?  Why shouldn't he walk the nights thinking of him, dreaming of him?   Do we contradict him?  Do we say, we don't have any hope anymore?  That we haven't had any hope for years now?",183.98,186.05,Ses01F_script01_1_F019,xxx,3,2.6667,2.3333
You can't say that to him.,194.06,198.91,Ses01F_script01_1_F020,xxx,2.3333,4,4.3333
We've got to say it to him.,205.16,215.17,Ses01F_script01_1_F021,fru,2.3333,4,4
Where's the proof?  Do you have any proof?,219.04,223.82,Ses01F_script01_1_F022,fru,2.3333,3.3333,2.3333
"For God's sake, three years?  Nobody comes back after three years; that's insane.",235.2,238.56,Ses01F_script01_1_F023,fru,3.3333,2.6667,2.3333
"To you it is, to me it is, but to your father, you can talk yourself until you are blue in the face.  But there is no grave and there is no body, so where are you?",241.3769,245.1904,Ses01F_script01_1_F024,fru,2.6667,2.6667,2.6667
"Sit down, Mom.  I want to talk to you.",246.8,251.4508,Ses01F_script01_1_F025,fru,2.6667,3.3333,3.6667
"It's that the trouble is those God damn newspapers.  Every month some new boy comes back and so the next one is going to be Larry, they just--",266.83,270.73,Ses01F_script01_1_F026,fru,2.6667,2.6667,3
"All right, all right, all right.  You know why I asked Annie here, right?",274.1997,277.21,Ses01F_script01_1_F027,fru,2.3333,2.3333,2.3333
Why?,278.15,282.59,Ses01F_script01_1_F028,fru,2.3333,2,2.3333
You know.,282.73,286.92,Ses01F_script01_1_F029,fru,2.3333,3.6667,3.6667
"Well I got an idea, but what's your story?",299.31,302.195,Ses01F_script01_1_F030,fru,2.6667,2,1.6667
I'm going to ask her to marry me.,304.23,308.98,Ses01F_script01_1_F031,fru,2.3333,2.3333,1.6667
"Well that's only your business, Chris.",309.04,312.7098,Ses01F_script01_1_F032,fru,2,2,2.6667
You know it's not just my business.,312.74,318.2648,Ses01F_script01_1_F033,fru,2.6667,2.6667,3.3333
Well what do you want me to do?  You're old enough to know your own mind.,323.3348,326.075,Ses01F_script01_1_F034,neu,2.3333,2.6667,2.3333
"So all right then, I'll just go ahead with it?",341.97,344.8052,Ses01F_script01_1_F035,ang,1.6667,3.6667,4
Well you want to make sure that your father is not going to --,349.63,352.5866,Ses01F_script01_1_F036,xxx,3,4,3.6667
Then it's not just my business.,356.4,359.87,Ses01F_script01_1_F037,ang,1.3333,4.3333,4.3333
I'm just saying.,361.81,364.61,Ses01F_script01_1_F038,ang,2,3.6667,3.6667
"You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things.",382.6,387.97,Ses01F_script01_1_F039,fru,2.3333,3,3.6667
Oh.  I ignore what I got to ignore.  That girl is Larry's girl.,389.54,392.9042,Ses01F_script01_1_F040,fru,2.3333,2.6667,4
She's not Larry's girl.,394.91,404.69,Ses01F_script01_1_F041,ang,1.6667,4.6667,4.3333
Line.,406.39,409.46,Ses01F_script01_1_F042,ang,2,4,3.6667
"From mother's point of view, he's not dead.",412.7875,416.2484,Ses01F_script01_1_F043,fru,2.3333,2.3333,2
"From your father's point of view, he is not dead and- Chris he still thinks he's still alive.  The girl is Larry's girl.",420.35,423.2141,Ses01F_script01_1_F044,fru,2.3333,1.3333,1.3333
From...line.,11.9892,15.1219,Ses01F_script01_1_M000,neu,3,1.6667,2.3333
Now you can go on from here.,19.0456,22.3962,Ses01F_script01_1_M001,neu,3,2,2.3333
"Now you can go on from there if you know where to go, but I'm telling you, I don't know where to go.",24.8,35.9971,Ses01F_script01_1_M002,neu,2.6667,3,2.3333
"I don't know why it is, but every time I reach out for something I have to pull back because I am afraid other people will suffer. My whole bloody life, time after time.",38.66,40.53,Ses01F_script01_1_M003,neu,3,2,2
You're --,44.55,47.23,Ses01F_script01_1_M004,neu,3,2,2
"You're a considerate fellow, there's nothing wrong in that.",51.43,59.55,Ses01F_script01_1_M005,fru,2.6667,2.6667,2.3333
To hell with that.,62.1628,68.25,Ses01F_script01_1_M006,xxx,2.6667,2.6667,2.6667
I just don't see why.  Have you asked Annie yet?,70.0764,78.8718,Ses01F_script01_1_M007,neu,2.6667,3,3
I wanted to get this settled first.,81.4068,89.4307,Ses01F_script01_1_M008,fru,2.3333,2.6667,3
Well how do you know she's going to marry you?  Maybe she feels the same way your father does.,89.7172,101.38,Ses01F_script01_1_M009,fru,2.3333,3.6667,3.6667
"Well if she does, then that's it.  That's the end of it.  From her letters, though, I think she's pretty much forgotten him.",102.1,104.72,Ses01F_script01_1_M010,neu,3,3.3333,3.6667
And then we'll thrash it out with father.  Okay Mom?  Don't avoid me.,108.1897,118.47,Ses01F_script01_1_M011,fru,2.3333,2.3333,3.3333
The trouble is you don't see enough women.  You never did.,130.76,134.59,Ses01F_script01_1_M012,neu,3,1.3333,2
So what.  I'm not fast with women.,141.05,149.75,Ses01F_script01_1_M013,fru,3,2.3333,2.3333
Why does it have to be Annie?,153.886,155.8699,Ses01F_script01_1_M014,neu,3,1.6667,2.3333
Because it is.,161.998,165.3487,Ses01F_script01_1_M015,neu,3,1.6667,2.6667
Oh that's a great reason.  It's no reason at all.,169.7574,172.18,Ses01F_script01_1_M016,neu,3.6667,2.6667,2.3333
I don't know.,174.7833,177.72,Ses01F_script01_1_M017,neu,3,2.6667,2.6667
"You haven't seen her since you went away to war, it's been five years.",179.28,181.9475,Ses01F_script01_1_M018,fru,3,3.3333,3.6667
"I can't help it, I know her best.  I was brought up next door to her, you know?  These years when I think of someone for my wife, I think of Annie.",185.03,195.28,Ses01F_script01_1_M019,ang,2,4.3333,4
"Mom, what do you want?  A diagram?",197.6,199.7475,Ses01F_script01_1_M020,fru,2.6667,4,3.6667
I don't want a diagram.,224.7,236.05,Ses01F_script01_1_M021,fru,2,3,2.3333
He thinks he's coming back Chris.,237.8,240.429,Ses01F_script01_1_M022,fru,2,3.3333,3.3333
"You marry that girl, you are pronouncing him dead...",245.2786,247.57,Ses01F_script01_1_M023,neu,3,2,2.3333
...and then what's that going to do to your father?  Do you know?  I don't.,251.2965,261.05,Ses01F_script01_1_M024,neu,2.6667,1.6667,2
"All right, then, Mom. [BREATHING]",262.65,267.2119,Ses01F_script01_1_M025,neu,2.6667,2,3
Just give it some more thought.,269.73,274.6626,Ses01F_script01_1_M026,fru,2,3.3333,3
"I've given it three years of thought.  And I'd hope that if I waited, father would forget about Larry and then we could just have a regular wedding and everyone would be happy.",276.24,278.3659,Ses01F_script01_1_M027,fru,3,2.6667,2.6667
"But if I can't do that here, I may have to go somewhere else.",281.57,283.89,Ses01F_script01_1_M028,fru,2,3,1.6667
What the hell is this?,285.96,296.03,Ses01F_script01_1_M029,fru,2.6667,3,3.3333
"I'll get out.  I'll get married and I'll move somewhere else, maybe New York.",297,300.07,Ses01F_script01_1_M030,fru,1.6667,4.3333,4.6667
Are you crazy?,318.2868,321.98,Ses01F_script01_1_M031,fru,2,2,1.3333
"I've been a good son for too long, a good sucker.",325.73,336.5389,Ses01F_script01_1_M032,fru,2.6667,3.6667,3.3333
You have a business here.  What the hell is this?,336.7373,342.3143,Ses01F_script01_1_M033,fru,2,2,3
The business?  The business doesn't inspire me.,344.4966,350.15,Ses01F_script01_1_M034,neu,3,2.6667,3.3333
Oh.  Must you be inspired?,352.1016,356.88,Ses01F_script01_1_M035,fru,2.3333,2.3333,2.3333
"Yes.  I like it for an hour a day.  I don't care if I have to grub for money all day long, when I come home I want it happy.",359.03,362.82,Ses01F_script01_1_M036,fru,3,3.3333,3
"I want some kids, I want a family, I want somebody that I can give myself to and Annie is in the center of that.  Now it's just where to find it.",363.87,373.5675,Ses01F_script01_1_M037,fru,3,4,4
You mean to tell me that you would leave the business over this?,373.5975,383.15,Ses01F_script01_1_M038,fru,2.6667,3.6667,3.6667
"On this, I would.",387.5,390.11,Ses01F_script01_1_M039,neu,3,1.6667,2
Well you don't want to think like that.,392.31,395.69,Ses01F_script01_1_M040,neu,3,1.6667,2
Then help me stay here.,403.43,407.04,Ses01F_script01_1_M041,fru,2.6667,2.6667,2.3333
"All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you.",408.96,412.8536,Ses01F_script01_1_M042,fru,3,2.6667,3.6667
I know that.  Then just help me stay here.,415.92,420.4807,Ses01F_script01_1_M043,fru,3,2.3333,3.3333
Just don't think like that.,18.9629,20.82,Ses01M_script02_1_F000,xxx,3,3,3
Well I am thinking like that.,30.32,32.05,Ses01M_script02_1_F001,fru,1.5,3.5,3.5
"I don't understand you, do I?",58.04,60.01,Ses01M_script02_1_F002,sur,2,2.5,3.5
No.  You don't.  I'm a pretty tough guy.,63.13,65.78,Ses01M_script02_1_F003,xxx,2,3,4
I can see that.,67.02,69.82,Ses01M_script02_1_F004,xxx,2,3.5,4
"What time is it?  God, this is great, isn't it?  I can't believe it.",70.69,75.38,Ses01M_script02_1_F005,ang,1.5,4,4
"Of course I did want to a little further up the coast you know get away from all the lights and people and everything.  Is it midnight, do they always start at midnight?  Is that what it is midnight?  How you doing, huh? You okay?  That's good.",96.27,98.1135,Ses01M_script02_1_F006,xxx,3,2,2.5
I'm fine.,101.33,102.61,Ses01M_script02_1_F007,neu,3,2,2.5
"Look, there what's that, what's that?  Is it--",128.555,130.3,Ses01M_script02_1_F008,neu,3,2,2.5
"No, I think that's just foam.",153.51,155.79,Ses01M_script02_1_F009,hap,3.5,3,2.5
Ugh...,161.6249,163.5475,Ses01M_script02_1_F010,fru,2.5,2.5,3
"Oh, no I can't tell though.  Although probably if you can't tell it probably isn't them right, yeah.  Probably going to be like unmistakable, right?",165.8,168.635,Ses01M_script02_1_F011,fru,2.5,3,3.5
"Gosh, this is great, isn't it?  This is awesome.  Oh, no you know what I forgot?",174.7,176.8514,Ses01M_script02_1_F012,fru,2,3,3.5
My flashlight.  How could I forget my flashlight?  God--,177.96,180.15,Ses01M_script02_1_F013,fru,2,3.5,4
What flashlight?,182.11,184.41,Ses01M_script02_1_F014,ang,1.5,4,3
Flashlight the silver one.  There's only one isn't there?,193.62,195.95,Ses01M_script02_1_F015,xxx,2.5,2.5,3
That's not your flashlight.,196.48,199.89,Ses01M_script02_1_F016,xxx,2,2.5,3.5
Whose is it?,215.1712,224.18,Ses01M_script02_1_F017,ang,2,4,4
"It's ours; it's my flashlight, too.",237.74,248.4,Ses01M_script02_1_F018,fru,2,3,4
"Oh, well, yeah of course.",248.99,251.1912,Ses01M_script02_1_F019,fru,2,3.5,3.5
"You keep saying ""my flashlight"" like somehow it's just yours. How's that supposed to make me feel?",273.98,276.1435,Ses01M_script02_1_F020,fru,2,2.5,2.5
No.,276.94,278.44,Ses01M_script02_1_F021,ang,2,3.5,4.5
"Of course, our flashlight.  What's your is mine, mi flashlight es su flashlight.",304.42,318.4303,Ses01M_script02_1_F022,ang,1.5,3.5,4
"Gosh, I should have brought it. I can't believe I forgot that.",319.61,321.82,Ses01M_script02_1_F023,ang,2,2.5,3.5
"It's a nice moon though, should stay full.  Do they always run during a full moon?  I can't remember was it full last year?",402.01,405.04,Ses01M_script02_1_F024,xxx,3,1.5,2.5
Yeah.,3.3988,8.55,Ses01M_script02_1_M000,exc,4,4,3.5
Are you all right?  Are you okay?  You cold?  Do you want to my jacket? My jacket? No?,9.0475,21.05,Ses01M_script02_1_M001,exc,4.5,4.5,4
No.,21.1025,26.03,Ses01M_script02_1_M002,exc,4.5,5,4.5
"You know what we should've brought a blanket too.  Man, our blanket, our blanket.  Wish I had six-pack too, a six-pack would be just the ticket right about now, huh, six-pack.",26.9072,30.67,Ses01M_script02_1_M003,xxx,2,3.5,3
What's wrong?  Are you okay?  Huh?  You cold?,31.79,41.7119,Ses01M_script02_1_M004,exc,3,4,3.5
I'm fine.,41.8225,52.565,Ses01M_script02_1_M005,exc,4,4,3.5
"Oh yeah, I'm so excited right now I'm like a kid.",52.6225,58.5575,Ses01M_script02_1_M006,xxx,3,3,3.5
I can't believe I got out of the house without my fly zipped up even.,59.45,63.6475,Ses01M_script02_1_M007,neu,2.5,3,3
Eek. Hehe. Oops.,65.72,67.57,Ses01M_script02_1_M008,xxx,3,3.5,2.5
I wonder if they can hear me talk,69.41,71.28,Ses01M_script02_1_M009,neu,3,3,2.5
"I wonder if they can hear me talking, you know.",74.89,81.73,Ses01M_script02_1_M010,neu,3,3.5,3
Like feel the vibrations in the sand when we move around.,82.2739,87.475,Ses01M_script02_1_M011,neu,2.5,3.5,3
I'm cold.,88.32,96.82,Ses01M_script02_1_M012,xxx,3,3.5,3
