,start_time,end_time,wav_file,emotion,val,act,dom
0,6.21,9.32,Ses01F_script01_1_F000,fru,2.0,2.3333,2.3333
1,9.35,12.8955,Ses01F_script01_1_F001,xxx,2.0,2.3333,1.6667
2,14.3063,19.5526,Ses01F_script01_1_F002,sur,2.3333,2.3333,2.6667
3,22.32,24.6667,Ses01F_script01_1_F003,xxx,3.0,3.0,2.6667
4,35.3799,39.09,Ses01F_script01_1_F004,xxx,2.0,2.0,2.0
5,40.02,44.9688,Ses01F_script01_1_F005,neu,2.0,1.6667,2.0
6,46.95,52.32,Ses01F_script01_1_F006,xxx,1.6667,2.3333,3.3333
7,58.95,60.88,Ses01F_script01_1_F007,xxx,2.6667,3.6667,3.6667
8,67.6,70.67,Ses01F_script01_1_F008,xxx,2.0,2.3333,2.6667
9,78.3648,81.5611,Ses01F_script01_1_F009,fru,2.6667,2.6667,3.6667
10,100.14,102.3482,Ses01F_script01_1_F010,fru,2.6667,2.6667,3.0
11,104.29,108.7408,Ses01F_script01_1_F011,fru,2.3333,3.3333,3.6667
12,117.8228,129.51,Ses01F_script01_1_F012,fru,2.3333,3.0,4.0
13,134.01,141.95,Ses01F_script01_1_F013,xxx,2.3333,4.3333,3.6667
14,150.27,152.6736,Ses01F_script01_1_F014,fru,2.6667,1.6667,2.3333
15,156.1786,160.67,Ses01F_script01_1_F015,neu,3.0,2.3333,3.0
16,165.6573,169.559,Ses01F_script01_1_F016,xxx,2.6667,2.6667,3.0
17,171.63,175.49,Ses01F_script01_1_F017,xxx,2.0,3.0,3.6667
18,176.96,179.75,Ses01F_script01_1_F018,xxx,2.6667,2.6667,2.3333
19,183.98,186.05,Ses01F_script01_1_F019,xxx,3.0,2.6667,2.3333
20,194.06,198.91,Ses01F_script01_1_F020,xxx,2.3333,4.0,4.3333
21,205.16,215.17,Ses01F_script01_1_F021,fru,2.3333,4.0,4.0
22,219.04,223.82,Ses01F_script01_1_F022,fru,2.3333,3.3333,2.3333
23,235.2,238.56,Ses01F_script01_1_F023,fru,3.3333,2.6667,2.3333
24,241.3769,245.1904,Ses01F_script01_1_F024,fru,2.6667,2.6667,2.6667
25,246.8,251.4508,Ses01F_script01_1_F025,fru,2.6667,3.3333,3.6667
26,266.83,270.73,Ses01F_script01_1_F026,fru,2.6667,2.6667,3.0
27,274.1997,277.21,Ses01F_script01_1_F027,fru,2.3333,2.3333,2.3333
28,278.15,282.59,Ses01F_script01_1_F028,fru,2.3333,2.0,2.3333
29,282.73,286.92,Ses01F_script01_1_F029,fru,2.3333,3.6667,3.6667
30,299.31,302.195,Ses01F_script01_1_F030,fru,2.6667,2.0,1.6667
31,304.23,308.98,Ses01F_script01_1_F031,fru,2.3333,2.3333,1.6667
32,309.04,312.7098,Ses01F_script01_1_F032,fru,2.0,2.0,2.6667
33,312.74,318.2648,Ses01F_script01_1_F033,fru,2.6667,2.6667,3.3333
34,323.3348,326.075,Ses01F_script01_1_F034,neu,2.3333,2.6667,2.3333
35,341.97,344.8052,Ses01F_script01_1_F035,ang,1.6667,3.6667,4.0
36,349.63,352.5866,Ses01F_script01_1_F036,xxx,3.0,4.0,3.6667
37,356.4,359.87,Ses01F_script01_1_F037,ang,1.3333,4.3333,4.3333
38,361.81,364.61,Ses01F_script01_1_F038,ang,2.0,3.6667,3.6667
39,382.6,387.97,Ses01F_script01_1_F039,fru,2.3333,3.0,3.6667
40,389.54,392.9042,Ses01F_script01_1_F040,fru,2.3333,2.6667,4.0
41,394.91,404.69,Ses01F_script01_1_F041,ang,1.6667,4.6667,4.3333
42,406.39,409.46,Ses01F_script01_1_F042,ang,2.0,4.0,3.6667
43,412.7875,416.2484,Ses01F_script01_1_F043,fru,2.3333,2.3333,2.0
44,420.35,423.2141,Ses01F_script01_1_F044,fru,2.3333,1.3333,1.3333
45,11.9892,15.1219,Ses01F_script01_1_M000,neu,3.0,1.6667,2.3333
46,19.0456,22.3962,Ses01F_script01_1_M001,neu,3.0,2.0,2.3333
47,24.8,35.9971,Ses01F_script01_1_M002,neu,2.6667,3.0,2.3333
48,38.66,40.53,Ses01F_script01_1_M003,neu,3.0,2.0,2.0
49,44.55,47.23,Ses01F_script01_1_M004,neu,3.0,2.0,2.0
50,51.43,59.55,Ses01F_script01_1_M005,fru,2.6667,2.6667,2.3333
51,62.1628,68.25,Ses01F_script01_1_M006,xxx,2.6667,2.6667,2.6667
52,70.0764,78.8718,Ses01F_script01_1_M007,neu,2.6667,3.0,3.0
53,81.4068,89.4307,Ses01F_script01_1_M008,fru,2.3333,2.6667,3.0
54,89.7172,101.38,Ses01F_script01_1_M009,fru,2.3333,3.6667,3.6667
55,102.1,104.72,Ses01F_script01_1_M010,neu,3.0,3.3333,3.6667
56,108.1897,118.47,Ses01F_script01_1_M011,fru,2.3333,2.3333,3.3333
57,130.76,134.59,Ses01F_script01_1_M012,neu,3.0,1.3333,2.0
58,141.05,149.75,Ses01F_script01_1_M013,fru,3.0,2.3333,2.3333
59,153.886,155.8699,Ses01F_script01_1_M014,neu,3.0,1.6667,2.3333
60,161.998,165.3487,Ses01F_script01_1_M015,neu,3.0,1.6667,2.6667
61,169.7574,172.18,Ses01F_script01_1_M016,neu,3.6667,2.6667,2.3333
